title,platform,status,genre,year,personal_rating,notes,cover_url,summary,rawg_rating,metacritic,developer,hltb_main,hltb_extra,hltb_completionist
The Witcher 3,GOG,Backlog,Action,2015,,,https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg,"The third game in a series, it holds nothing back from the player. Open world adventures of the renowned monster slayer Geralt of Rivia are now even on a larger scale. Following the source material more accurately, this time Geralt is trying to find the child of the prophecy, Ciri while making a quick coin from various contracts on the side. Great attention to the world building above all creates an immersive story, where your decisions will shape the world around you.

CD Project Red are infamous for the amount of work they put into their games, and it shows, because aside from classic third-",4.6,92,CD PROJEKT RED,,,
Cyberpunk 2077,GOG,Backlog,Action,2020,,,https://media.rawg.io/media/games/26d/26d4437715bee60138dab4a7c8c59c92.jpg,"Cyberpunk 2077 is a science fiction game loosely based on the role-playing game Cyberpunk 2020.

###Setting
The game is set in the year 2077 in a fictional futuristic metropolis Night City in California. In the world of the game, there are developed cybernetic augmentations that enhance people's strength, agility, and memory. The city is governed by corporations. Many jobs are taken over by the robots, leaving a lot of people poor and homeless. Night City has a roaring underworld, with black markets, underground surgeons, drug dealers, and street gangs abound.

###Characters
The main pro",4.2,73,CD PROJEKT RED,,,
Disco Elysium,GOG,Backlog,Adventure,2019,,,https://media.rawg.io/media/games/840/8408ad3811289a6a5830cae60fb0b62a.jpg,"Disco Elysium is a groundbreaking blend of hardboiled cop show and isometric RPG. Solve a massive, open ended case in a unique urban fantasy setting. Kick in doors, interrogate suspects, or just get lost exploring the gorgeously rendered city of Revachol and unraveling its mysteries. Tough choices need to be made. What kind of cop you are — is up to you.

You play a disgraced lieutenant detective in Revachol West, a shore town where corruption’s out of control, murders go unsolved, and the kids just wanna dance. Kick in doors, interrogate suspects, or get lost exploring a gorgeously rendered",4.4,91,ZA/UM,,,
Divinity Original Sin 2,GOG,Backlog,RPG,2017,,,https://media.rawg.io/media/games/424/424facd40f4eb1f2794fe4b4bb28a277.jpg,"The Divine is dead. The Void approaches. And the powers latent within you are soon to awaken. The battle for Divinity has begun. Choose wisely and trust sparingly; darkness lurks within every heart.

Who will you be? A flesh-eating elf; an imperial lizard; an undead risen from the grave? Choose your race and origin story - or create your own! Discover how the world reacts differently to who - and what - you are.It’s time for a new Divinity!
Gather your party and develop relationships with your companions. Blast your opponents in deep tactical turn-based combat. Use the environment as a weapon,",4.4,95,Larian Studios,,,
Hollow Knight,GOG,Backlog,Action,2017,,,https://media.rawg.io/media/games/4cf/4cfc6b7f1850590a4634b08bfab308ab.jpg,"Hollow Knight is a Metroidvania-type game developed by an indie studio named Team Cherry.

Most of the game's story is told through the in-world items, tablets, and thoughts of other characters. Many plot aspects are told to the player indirectly or through the secret areas that provide a bit of lore in addition to an upgrade. At the beginning of the game, the player visits a town of Dirtmouth. A town built above the ruins of Hallownest. The players descend down into the ruins to find some answers to his questions.

The game revolves mainly around the exploration of the in-game world, whic",4.4,88,Team Cherry,,,
Hades,GOG,Backlog,Action,2020,,,https://media.rawg.io/media/games/1f4/1f47a270b8f241e4676b14d39ec620f7.jpg,"Hades is a rogue-like dungeon crawler that combines the best aspects of Supergiant's critically acclaimed titles, including the fast-paced action of Bastion, the rich atmosphere and depth of Transistor, and the character-driven storytelling of Pyre.

BATTLE OUT OF HELL
As the immortal Prince of the Underworld, you'll wield the powers and mythic weapons of Olympus to break free from the clutches of the god of the dead himself, while growing stronger and unraveling more of the story with each unique escape attempt.

UNLEASH THE FURY OF OLYMPUS
The Olympians have your back! Meet Zeus, Athena, Pos",4.4,93,Supergiant Games,,,
Baldur's Gate 3,GOG,Backlog,Adventure,2023,,,https://media.rawg.io/media/games/699/69907ecf13f172e9e144069769c3be73.jpg,"Gather your party, and return to the Forgotten Realms in a tale of fellowship and betrayal, sacrifice and survival, and the lure of absolute power.

Mysterious abilities are awakening inside you, drawn from a Mind Flayer parasite planted in your brain. Resist, and turn darkness against itself. Or embrace corruption, and become ultimate evil.

From the creators of Divinity: Original Sin 2 comes a next-generation RPG, set in the world of Dungeons and Dragons.

Choose from a wide selection of D&D races and classes, or play as an origin character with a hand-crafted background. Adventure, lo",4.4,97,Larian Studios,,,
Death Stranding,GOG,Backlog,Action,2019,,,https://media.rawg.io/media/games/2ad/2ad87a4a69b1104f02435c14c5196095.jpg,"Sam Bridges must brave a world utterly transformed by the Death Stranding. Carrying the stranded remnants of the future in his hands, Sam embarks on a journey to reunite the shattered world one step at a time. What is the mystery of the Death Stranding? What will Sam discover on the road ahead? A genre defining gameplay experience holds these answers and more.

Experience a journey like nothing before it, from legendary game creator Hideo Kojima. Take control of working man Sam Bridges, as he braves a deadly and mysterious world where death’s tide lurks everywhere.

Featuring an all-star c",4.3,84,Kojima Productions,,,
Control,GOG,Backlog,Action,2019,,,https://media.rawg.io/media/games/253/2534a46f3da7fa7c315f1387515ca393.jpg,"Control is a surrealist low-fantasy game about a secret organization that deals with the paranormal activities.

###Plot
The game follows Jesse Faden, a woman with superhuman powers. She works with the Federal Bureau of Control, a secret governmental organization that deals with the paranormal phenomena, often by annihilating it as a threat. The Bureau headquarters, known as the Oldest House, is taken over by a supernatural power called the Hiss. The director of Bureau, Zachariah Trench, is killed, and Faden is unexpectedly promoted to his place, while the ghost of her predecessor haunts he",4.1,84,505 Games,,,
Outer Wilds,GOG,Backlog,Adventure,2019,,,https://media.rawg.io/media/games/9f4/9f418898f5415668ca47b5f4ab1ecfeb.jpg,"Outer Wilds is an open world mystery about a solar system trapped in an endless time loop.
Welcome to the Space Program!
You're the newest recruit of Outer Wilds Ventures, a fledgling space program searching for answers in a strange, constantly evolving solar system.

Mysteries of the Solar System...
What lurks in the heart of the ominous Dark Bramble? Who built the alien ruins on the Moon? Can the endless time loop be stopped? Answers await you in the most dangerous reaches of space.

A World That Changes Over Time
The planets of Outer Wilds are packed with hidden locations that change with t",4.4,84,Mobius Digital,,,
